rsi_long,rsi_short,stop_atr,take_atr,holding,spread_pips,max_leverage_cap,accountCurrency,initialCapitalEUR,finalCapitalEUR,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,sharpe,sortino,avgTradeEUR,exposurePct,avgLeverage,maxLeverageUsed,leveragedTrades
52.0,48.0,1.2,1.8,3,0.4,1.0,EUR,10000.0,10466.78,4.6678,58.33,1.2506,1.8443,36,1.7861,2.5403,12.97,66.14,0.788,1.0,0
52.0,48.0,1.2,1.8,3,0.4,2.0,EUR,10000.0,10470.94,4.7094,58.33,1.252,1.8245,36,1.7473,2.4388,13.08,66.14,0.813,1.151,8
52.0,48.0,1.2,1.8,3,0.4,3.0,EUR,10000.0,10470.94,4.7094,58.33,1.252,1.8245,36,1.7473,2.4388,13.08,66.14,0.813,1.151,8
52.0,48.0,1.2,1.8,3,0.8,1.0,EUR,10000.0,10458.87,4.5887,58.33,1.2524,1.8254,36,1.7559,2.5239,12.75,66.14,0.788,1.0,0
52.0,48.0,1.2,1.8,3,0.8,2.0,EUR,10000.0,10462.81,4.6281,58.33,1.2538,1.8057,36,1.7173,2.423,12.86,66.14,0.813,1.152,8
52.0,48.0,1.2,1.8,3,0.8,3.0,EUR,10000.0,10462.81,4.6281,58.33,1.2538,1.8057,36,1.7173,2.423,12.86,66.14,0.813,1.152,8
52.0,48.0,1.2,1.8,3,1.5,1.0,EUR,10000.0,10451.19,4.5119,58.33,1.2555,1.8126,36,1.7283,2.5465,12.53,66.14,0.786,1.0,0
52.0,48.0,1.2,1.8,3,1.5,2.0,EUR,10000.0,10454.74,4.5474,58.33,1.2569,1.7924,36,1.6894,2.4436,12.63,66.14,0.811,1.152,8
52.0,48.0,1.2,1.8,3,1.5,3.0,EUR,10000.0,10454.74,4.5474,58.33,1.2569,1.7924,36,1.6894,2.4436,12.63,66.14,0.811,1.152,8
52.0,48.0,1.2,1.8,3,2.0,1.0,EUR,10000.0,10438.85,4.3885,58.33,1.2577,1.7849,36,1.6814,2.4989,12.19,66.14,0.784,1.0,0
52.0,48.0,1.2,1.8,3,2.0,2.0,EUR,10000.0,10442.12,4.4212,58.33,1.2591,1.7651,36,1.6431,2.3967,12.28,66.14,0.809,1.153,8
52.0,48.0,1.2,1.8,3,2.0,3.0,EUR,10000.0,10442.12,4.4212,58.33,1.2591,1.7651,36,1.6431,2.3967,12.28,66.14,0.809,1.153,8
52.0,48.0,1.2,1.8,5,0.4,1.0,EUR,10000.0,10292.1,2.921,51.72,1.8422,1.5759,29,1.0421,1.4227,10.07,71.43,0.788,1.0,0
52.0,48.0,1.2,1.8,5,0.4,2.0,EUR,10000.0,10296.78,2.9678,51.72,1.9012,1.5703,29,1.0347,1.4048,10.23,71.43,0.808,1.17,5
52.0,48.0,1.2,1.8,5,0.4,3.0,EUR,10000.0,10296.78,2.9678,51.72,1.9012,1.5703,29,1.0347,1.4048,10.23,71.43,0.808,1.17,5
52.0,48.0,1.2,1.8,5,0.8,1.0,EUR,10000.0,10286.37,2.8637,51.72,1.8492,1.5617,29,1.0221,1.4042,9.87,71.43,0.788,1.0,0
52.0,48.0,1.2,1.8,5,0.8,2.0,EUR,10000.0,10290.92,2.9092,51.72,1.9084,1.5561,29,1.0149,1.3864,10.03,71.43,0.809,1.17,5
52.0,48.0,1.2,1.8,5,0.8,3.0,EUR,10000.0,10290.92,2.9092,51.72,1.9084,1.5561,29,1.0149,1.3864,10.03,71.43,0.809,1.17,5
52.0,48.0,1.2,1.8,5,1.5,1.0,EUR,10000.0,10276.36,2.7636,51.72,1.8616,1.5373,29,0.9871,1.3753,9.53,71.43,0.788,1.0,0
52.0,48.0,1.2,1.8,5,1.5,2.0,EUR,10000.0,10272.92,2.7292,51.72,1.9211,1.5171,29,0.9592,1.321,9.41,71.43,0.806,1.074,5
52.0,48.0,1.2,1.8,5,1.5,3.0,EUR,10000.0,10272.92,2.7292,51.72,1.9211,1.5171,29,0.9592,1.321,9.41,71.43,0.806,1.074,5
52.0,48.0,1.2,1.8,5,2.0,1.0,EUR,10000.0,10269.21,2.6921,51.72,1.8704,1.5201,29,0.9621,1.3538,9.28,71.43,0.789,1.0,0
52.0,48.0,1.2,1.8,5,2.0,2.0,EUR,10000.0,10265.62,2.6562,51.72,1.9301,1.5001,29,0.9341,1.2994,9.16,71.43,0.806,1.074,5
52.0,48.0,1.2,1.8,5,2.0,3.0,EUR,10000.0,10265.62,2.6562,51.72,1.9301,1.5001,29,0.9341,1.2994,9.16,71.43,0.806,1.074,5
52.0,48.0,1.2,1.8,8,0.4,1.0,EUR,10000.0,10235.74,2.3574,48.15,1.6136,1.4015,27,0.8439,1.1795,8.73,78.84,0.776,1.0,0
52.0,48.0,1.2,1.8,8,0.4,2.0,EUR,10000.0,10226.56,2.2656,48.15,1.6726,1.3784,27,0.8051,1.1121,8.39,78.84,0.792,1.085,5
52.0,48.0,1.2,1.8,8,0.4,3.0,EUR,10000.0,10226.56,2.2656,48.15,1.6726,1.3784,27,0.8051,1.1121,8.39,78.84,0.792,1.085,5
52.0,48.0,1.2,1.8,8,0.8,1.0,EUR,10000.0,10219.64,2.1964,48.15,1.6178,1.3726,27,0.7926,1.1057,8.13,78.84,0.773,1.0,0
52.0,48.0,1.2,1.8,8,0.8,2.0,EUR,10000.0,10221.74,2.2174,48.15,1.677,1.3689,27,0.7884,1.0933,8.21,78.84,0.792,1.086,5
52.0,48.0,1.2,1.8,8,0.8,3.0,EUR,10000.0,10221.74,2.2174,48.15,1.677,1.3689,27,0.7884,1.0933,8.21,78.84,0.792,1.086,5
52.0,48.0,1.2,1.8,8,1.5,1.0,EUR,10000.0,10213.87,2.1387,44.44,1.6251,1.3617,27,0.7774,1.1035,7.92,78.84,0.77,1.0,0
52.0,48.0,1.2,1.8,8,1.5,2.0,EUR,10000.0,10216.77,2.1677,44.44,1.6846,1.3601,27,0.7785,1.0976,8.03,78.84,0.785,1.086,5
52.0,48.0,1.2,1.8,8,1.5,3.0,EUR,10000.0,10216.77,2.1677,44.44,1.6846,1.3601,27,0.7785,1.0976,8.03,78.84,0.785,1.086,5
